"proj_id","repo_name","owner_login","language","﻿Id","ci_age","n_issues","n_tag_issues","n_bug_issues","proj_age","n_star","n_fork","n_core_issues","n_core_bugs","Date"
1127,"zeroclickinfo-spice","duckduckgo","JavaScript",126,-8,4,0,0,15,170,91,3,0,"2012-09-26 13:08:37.0"
1127,"zeroclickinfo-spice","duckduckgo","JavaScript",125,-7,1,0,0,16,175,97,0,0,"2012-10-26 13:08:37.0"
1127,"zeroclickinfo-spice","duckduckgo","JavaScript",152,10,10,10,7,32,191,245,10,7,"2014-02-18 13:08:37.0"
1127,"zeroclickinfo-spice","duckduckgo","JavaScript",153,11,11,11,6,33,191,260,11,6,"2014-03-20 13:08:37.0"
1127,"zeroclickinfo-spice","duckduckgo","JavaScript",154,12,3,2,1,34,191,270,2,1,"2014-04-19 13:08:37.0"
1127,"zeroclickinfo-spice","duckduckgo","JavaScript",155,13,66,59,32,35,196,280,65,32,"2014-05-19 13:08:37.0"
1127,"zeroclickinfo-spice","duckduckgo","JavaScript",156,14,32,31,11,36,203,289,32,11,"2014-06-18 13:08:37.0"
1127,"zeroclickinfo-spice","duckduckgo","JavaScript",157,15,17,16,12,37,207,298,16,11,"2014-07-18 13:08:37.0"
1127,"zeroclickinfo-spice","duckduckgo","JavaScript",158,16,13,12,7,38,213,306,11,6,"2014-08-17 13:08:37.0"
1127,"zeroclickinfo-spice","duckduckgo","JavaScript",159,17,16,13,7,39,220,309,13,5,"2014-09-16 13:08:37.0"
1127,"zeroclickinfo-spice","duckduckgo","JavaScript",160,18,26,16,9,40,221,317,23,9,"2014-10-16 13:08:37.0"
1127,"zeroclickinfo-spice","duckduckgo","JavaScript",161,19,13,11,8,41,230,321,13,8,"2014-11-15 13:08:37.0"
1127,"zeroclickinfo-spice","duckduckgo","JavaScript",134,-17,1,0,0,7,111,4,1,0,"2012-01-30 13:08:37.0"
1127,"zeroclickinfo-spice","duckduckgo","JavaScript",135,-18,1,0,0,5,101,2,0,0,"2011-12-01 13:08:37.0"
1127,"zeroclickinfo-spice","duckduckgo","JavaScript",136,-19,2,0,0,4,99,2,1,0,"2011-11-01 13:08:37.0"
1127,"zeroclickinfo-spice","duckduckgo","JavaScript",137,-20,1,0,0,3,96,1,0,0,"2011-10-02 13:08:37.0"
1127,"zeroclickinfo-spice","duckduckgo","JavaScript",138,-5,2,1,1,18,180,129,1,1,"2012-12-25 13:08:37.0"
1127,"zeroclickinfo-spice","duckduckgo","JavaScript",139,-4,5,5,3,19,180,134,4,3,"2013-01-24 13:08:37.0"
1127,"zeroclickinfo-spice","duckduckgo","JavaScript",127,-9,8,1,0,14,164,83,6,0,"2012-08-27 13:08:37.0"
1127,"zeroclickinfo-spice","duckduckgo","JavaScript",128,-11,14,0,0,12,155,59,6,0,"2012-06-28 13:08:37.0"
1127,"zeroclickinfo-spice","duckduckgo","JavaScript",129,-12,8,1,0,11,146,47,2,0,"2012-05-29 13:08:37.0"
1127,"zeroclickinfo-spice","duckduckgo","JavaScript",130,-13,3,1,0,10,129,23,1,0,"2012-04-29 13:08:37.0"
1127,"zeroclickinfo-spice","duckduckgo","JavaScript",131,-10,2,0,0,13,161,71,0,0,"2012-07-28 13:08:37.0"
1127,"zeroclickinfo-spice","duckduckgo","JavaScript",132,-14,2,0,0,9,123,13,0,0,"2012-03-30 13:08:37.0"
1127,"zeroclickinfo-spice","duckduckgo","JavaScript",133,-16,1,0,0,7,111,4,0,0,"2012-01-30 13:08:37.0"
1127,"zeroclickinfo-spice","duckduckgo","JavaScript",147,5,5,3,3,27,190,186,5,3,"2013-09-21 13:08:37.0"
1127,"zeroclickinfo-spice","duckduckgo","JavaScript",148,6,34,31,13,28,190,193,34,13,"2013-10-21 13:08:37.0"
1127,"zeroclickinfo-spice","duckduckgo","JavaScript",149,7,22,20,9,29,191,212,21,9,"2013-11-20 13:08:37.0"
1127,"zeroclickinfo-spice","duckduckgo","JavaScript",150,8,6,6,4,30,191,220,4,4,"2013-12-20 13:08:37.0"
1127,"zeroclickinfo-spice","duckduckgo","JavaScript",151,9,7,5,3,31,191,230,7,3,"2014-01-19 13:08:37.0"
1127,"zeroclickinfo-spice","duckduckgo","JavaScript",143,1,3,2,0,23,185,162,3,0,"2013-05-24 13:08:37.0"
1127,"zeroclickinfo-spice","duckduckgo","JavaScript",140,-3,13,11,7,20,181,143,10,6,"2013-02-23 13:08:37.0"
1127,"zeroclickinfo-spice","duckduckgo","JavaScript",141,-2,8,8,3,21,182,153,7,3,"2013-03-25 13:08:37.0"
1127,"zeroclickinfo-spice","duckduckgo","JavaScript",142,-1,2,2,2,22,184,157,2,2,"2013-04-24 13:08:37.0"
1127,"zeroclickinfo-spice","duckduckgo","JavaScript",144,2,3,0,0,24,186,168,0,0,"2013-06-23 13:08:37.0"
1127,"zeroclickinfo-spice","duckduckgo","JavaScript",145,3,7,5,3,25,188,175,5,3,"2013-07-23 13:08:37.0"
1127,"zeroclickinfo-spice","duckduckgo","JavaScript",146,4,4,2,1,26,189,178,3,1,"2013-08-22 13:08:37.0"
1386,"statsmodels","statsmodels","Python",233,11,21,18,2,28,632,161,17,2,"2013-09-29 08:04:50.0"
1386,"statsmodels","statsmodels","Python",234,12,45,35,6,29,635,175,29,5,"2013-10-29 08:04:50.0"
1386,"statsmodels","statsmodels","Python",235,13,27,22,3,30,639,189,21,2,"2013-11-28 08:04:50.0"
1386,"statsmodels","statsmodels","Python",236,14,42,27,13,31,646,203,28,12,"2013-12-28 08:04:50.0"
1386,"statsmodels","statsmodels","Python",237,15,40,19,6,32,653,213,24,5,"2014-01-27 08:04:50.0"
1386,"statsmodels","statsmodels","Python",238,16,49,38,7,33,656,230,39,6,"2014-02-26 08:04:50.0"
1386,"statsmodels","statsmodels","Python",239,17,55,38,13,34,657,246,40,10,"2014-03-28 08:04:50.0"
1386,"statsmodels","statsmodels","Python",240,18,69,50,6,35,671,255,54,6,"2014-04-27 08:04:50.0"
1386,"statsmodels","statsmodels","Python",241,19,37,30,3,36,698,264,32,3,"2014-05-27 08:04:50.0"
1386,"statsmodels","statsmodels","Python",242,20,72,60,10,37,720,264,61,9,"2014-06-26 08:04:50.0"
1386,"statsmodels","statsmodels","Python",243,21,40,28,13,38,747,265,27,12,"2014-07-26 08:04:50.0"
1386,"statsmodels","statsmodels","Python",244,22,53,37,14,39,767,268,36,12,"2014-08-25 08:04:50.0"
1386,"statsmodels","statsmodels","Python",245,23,27,25,8,40,784,269,22,5,"2014-09-24 08:04:50.0"
1386,"statsmodels","statsmodels","Python",246,24,23,16,1,41,804,270,16,1,"2014-10-24 08:04:50.0"
1386,"statsmodels","statsmodels","Python",247,25,8,5,0,42,823,270,5,0,"2014-11-23 08:04:50.0"
1386,"statsmodels","statsmodels","Python",208,1,12,11,3,18,550,74,10,3,"2012-12-03 08:04:50.0"
1386,"statsmodels","statsmodels","Python",209,-3,24,23,5,15,504,59,22,5,"2012-09-04 08:04:50.0"
1386,"statsmodels","statsmodels","Python",210,-2,38,32,7,16,531,64,32,7,"2012-10-04 08:04:50.0"
1386,"statsmodels","statsmodels","Python",211,-1,21,20,3,17,538,67,18,1,"2012-11-03 08:04:50.0"
1386,"statsmodels","statsmodels","Python",212,-5,36,30,4,13,462,47,36,4,"2012-07-06 08:04:50.0"
1386,"statsmodels","statsmodels","Python",213,-7,28,24,5,11,417,35,22,3,"2012-05-07 08:04:50.0"
1386,"statsmodels","statsmodels","Python",214,-8,21,17,5,10,399,29,17,5,"2012-04-07 08:04:50.0"
1386,"statsmodels","statsmodels","Python",215,-4,36,35,9,14,487,51,35,9,"2012-08-05 08:04:50.0"
